id,category,name,ingredients,price
ent-01,entrees,Salade Composée,"Salade Verte, Concombre, Riz, Thon, Maïs, Fromage, Fruit De Mer, œuf, Betterave, Carotte, Ananas, Mangue, Escalope, Fruits Secs, Ebly, Pâtes, Gambas, Avocat, Tomate Cerise",90 DH
ent-02,entrees,Salade Du Chef,"Salade Verte, Fruits De Mer, Betterave, Thon, Maïs, Fromage, œuf, Tomate Cerise, Ebly, Escalope, Avocat, Ananas",80 DH
ent-03,entrees,Salade Mister Fish,"Salade Verte, Riz, Thon, Maïs, Fromage, Russe, Ananas, Fruits De Mer, œuf, Escalope, Tomate Cerise",70 DH
ent-04,entrees,Salade Pêcheur,"Fruits De Mer, Salade Verte, Tomate Cerise, Crevette",80 DH
ent-05,entrees,Salade Cocktail Aux Crevettes,"Ananas Frais, Mangue, Crevettes",90 DH
ent-06,entrees,Salade Avocat Aux Crevettes,"Salade Verte, Carotte Râpée, Crevette, Avocat",70 DH
ent-07,entrees,Salade Tomate Mozzarella,"Tomates Cerises, Mozzarella, Basilic",60 DH
ent-08,entrees,Salade Saumon Fumée,"Saumon fumé, salade verte",95 DH
ent-09,entrees,Salade De Poulpe,"Purée, Poulpe, Salade Verte",80 DH
ent-10,entrees,Salade Du Thon,"Salade Verte, Oignon, Tomate, Thon",50 DH
ent-11,entrees,Salade Niçoise,"Salade Verte, Pâtes, Betterave, Concombre, Carotte, Thon, Maïs, Œuf",40 DH
ent-12,entrees,Salade Marocaine,"Salade Verte, Tomates, Oignon, Œuf, Concombre, Thon",40
ent-13,entrees,Salade César,"Salade Verte, Poulet, Tranches De Pain, Œuf, Fromage, Tomates Cerises, Anchois Marinés",50 DH
ent-14,entrees,Salade Russe,"Salade Verte, Carotte, Pomme De Terre, Œuf, Oignon, Thon, Maïs",40 DH
ent-15,entrees,Salade Asiatique,"Salade Verte, Carotte, Pomme De Terre, œuf, Oignon, Thon, Maïs, Sauce Mayonnaise",85 DH
ent-16,entrees,Salade De Choux Aux Fruits,"Salade Verte, Choux Rouge, Pomme, Ananas, Fruits Sec, Miel, Crevette, Yaourt, Jus D’orange/Citron",70 DH
soup-01,soupes,Soupe De Poisson,,40 DH
soup-02,soupes,Soupe Almejas,,55 DH
soup-03,soupes,Soupe Royale Mister Fish,,70 DH
cru-01,crustaces,Les Huîtres (6 Pièces),,90 DH
cru-02,crustaces,Les Huîtres Gratinées (6 Pièces),,120 DH
cru-03,crustaces,Les Huîtres Saumon Crevette (6 Pièces),,180 DH
